City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,hammerfest,70.6634,23.6821,3.25,100,75,5.14,NO,1709753150
249,lerwick,60.1545,-1.1494,6.0,78,100,9.43,GB,1709753150
250,shatsk,54.0258,41.7119,-14.63,99,70,2.09,RU,1709753150
251,alvesta,56.8993,14.5556,1.92,78,0,0.51,SE,1709753151
252,bridgetown,13.1,-59.6167,29.27,61,20,7.72,BB,1709753151
253,waingapu,-9.6567,120.2641,27.17,85,97,2.31,ID,1709753151
254,botshabelo,-29.2702,26.7052,17.22,21,0,1.94,ZA,1709753152
255,taihecun,45.8,130.85,-14.61,94,24,1.72,CN,1709753152
256,stettler,52.3168,-112.7186,-18.14,100,28,1.03,CA,1709753152
257,santana,-0.0583,-51.1817,30.1,74,75,4.12,BR,1709753153
258,tbilisskaya,45.3633,40.19,7.42,63,100,5.98,RU,1709753153
259,hasaki,35.7333,140.8333,5.16,60,100,10.34,JP,1709753153
260,constantia,44.1833,28.65,5.39,73,100,1.34,RO,1709753046
261,chhapar,27.8167,74.4,15.82,17,4,1.52,IN,1709753154
262,kingston,17.997,-76.7936,30.09,66,20,9.26,JM,1709753154
263,howrah,22.5892,88.3103,24.0,64,0,0.0,IN,1709753155
264,tocache,-8.1842,-76.5125,24.48,88,100,0.65,PE,1709753155
265,chiang kham,19.5233,100.3,24.26,31,32,0.85,TH,1709753155
266,saint-pierre,-21.3393,55.4781,24.82,83,75,2.57,RE,1709753156
267,bambui,-20.0064,-45.9769,29.09,59,87,2.47,BR,1709753156
268,visby,57.6409,18.296,-1.77,93,0,1.54,SE,1709753157
269,muravlenko,63.7898,74.523,-18.49,96,100,6.06,RU,1709753157
270,bafra,41.5678,35.9069,8.34,83,100,7.39,TR,1709752939
271,al hazm,16.1641,44.7769,26.06,41,0,2.07,YE,1709753158
272,aasiaat,68.7098,-52.8699,-15.86,93,100,1.59,GL,1709753158
273,bikenibeu village,1.3673,173.1241,27.98,89,75,3.6,KI,1709753158
274,abepura,-2.6333,140.5833,24.45,94,20,1.54,ID,1709753159
275,savoy,45.5,6.4167,0.17,94,63,1.4,FR,1709753159
276,cruzeiro do sul,-29.5128,-51.9853,29.16,53,0,2.53,BR,1709753160
277,jayapura,-2.5333,140.7,24.66,90,100,1.66,ID,1709753160
278,westport,41.1415,-73.3579,10.88,88,100,3.09,US,1709753161
279,tubarjal,30.4999,38.216,16.3,53,0,10.1,SA,1709753161
280,narvik,68.4384,17.4272,-3.19,84,81,2.57,NO,1709753161
281,kone,-21.0595,164.8658,24.66,91,87,2.09,NC,1709753162
282,ebon,4.582,168.6964,28.04,81,100,9.39,MH,1709753162
283,callao,-12.0667,-77.15,27.16,65,20,5.66,PE,1709753163
284,terek,43.4833,44.1361,8.88,72,99,1.45,RU,1709753163
285,yambio,4.5721,28.3955,28.88,47,100,3.62,SS,1709753164
286,lamu,-2.2717,40.902,28.2,77,91,5.1,KE,1709753164
287,puerto deseado,-47.7503,-65.8938,17.51,35,33,4.85,AR,1709753164
288,deniliquin,-35.5333,144.9667,17.6,63,0,3.58,AU,1709753165
289,yermentau,51.6214,73.1069,-9.86,94,91,6.37,KZ,1709753165
290,revelstoke,50.9832,-118.2023,-5.99,68,0,1.03,CA,1709753165
291,sant antoni de portmany,38.9807,1.3036,14.49,69,0,1.54,ES,1709753166
292,utrik,11.2278,169.8474,26.35,79,37,10.25,MH,1709753166
293,nikki,9.9401,3.2108,35.51,19,77,1.91,BJ,1709753166
294,fortuna,40.5982,-124.1573,11.07,95,100,0.89,US,1709753167
295,guarapari,-20.6667,-40.4975,27.16,89,100,1.44,BR,1709752957
296,al ghayzah,16.2079,52.176,26.11,76,0,4.14,YE,1709753168
297,oodweyne,9.4092,45.064,26.35,34,6,3.94,SO,1709753168
298,chikwawa,-16.0335,34.8009,27.22,77,99,3.1,MW,1709753168
299,akureyri,65.6835,-18.0878,6.96,65,40,2.06,IS,1709752881
300,holualoa,19.6228,-155.9522,22.91,79,100,2.06,US,1709753169
301,kerikeri,-35.2268,173.9474,13.84,90,97,1.5,NZ,1709753169
302,campbell river,50.0163,-125.2446,4.14,52,75,2.06,CA,1709753170
303,qusmuryn,52.4503,64.6311,-8.84,97,89,2.23,KZ,1709753170
304,spring creek,40.7266,-115.5859,4.83,60,99,3.45,US,1709753170
305,fuyuan,46.4333,127.0833,-17.5,96,96,0.81,CN,1709753171
306,aral,40.5156,81.2636,4.9,40,100,3.34,CN,1709753171
307,kralendijk,12.15,-68.2667,29.99,70,75,7.72,BQ,1709753171
308,tazacorte,28.629,-17.9293,18.54,68,0,4.63,ES,1709753172
309,touros,-5.1989,-35.4608,28.5,73,100,4.9,BR,1709753172
310,arraial do cabo,-22.9661,-42.0278,27.98,83,75,4.12,BR,1709752921
311,bam,29.106,58.357,13.32,50,5,2.66,IR,1709753173
312,tchaourou,8.8865,2.5975,34.08,34,69,3.26,BJ,1709753173
313,maffra,-37.9667,146.9833,12.89,91,30,1.46,AU,1709753174
314,sinjai,-5.1241,120.253,25.15,91,100,1.96,ID,1709753174
315,canacona,14.9959,74.0506,24.74,71,4,4.29,IN,1709753174
316,ocean shores,46.9737,-124.1563,6.64,84,92,0.89,US,1709753175
317,mercedes,-34.6515,-59.4307,29.85,25,0,4.27,AR,1709752957
318,hadibu,12.65,54.0333,27.09,79,92,2.88,YE,1709752951
319,nar'yan-mar,67.6713,53.087,-4.94,95,100,5.36,RU,1709753176
320,essaouira,31.5125,-9.77,16.72,72,100,4.12,MA,1709753084
321,kodinsk,58.6881,99.1844,-3.09,98,99,1.51,RU,1709753177
322,acarau,-2.8856,-40.12,27.69,80,100,5.2,BR,1709753177
323,bel ombre,-4.6167,55.4167,27.91,89,20,1.54,SC,1709753177
324,hilton head island,32.2163,-80.7526,26.03,67,40,5.14,US,1709753178
325,hooglede,50.9901,3.086,7.66,81,28,1.34,BE,1709753178
326,nova vicosa,-17.8919,-39.3719,29.96,63,10,6.34,BR,1709753178
327,taft,31.7471,54.2088,6.97,57,0,0.0,IR,1709753179
328,robore,-18.3333,-59.75,33.05,58,75,0.0,BO,1709753179
329,qujing,25.4833,103.7833,9.5,41,0,2.63,CN,1709753180
330,tamanrasset,22.785,5.5228,20.95,7,0,3.09,DZ,1709753180
331,akjoujt,19.6969,-14.4164,30.58,7,78,3.48,MR,1709753180
332,huarmey,-10.0681,-78.1522,26.42,69,49,5.03,PE,1709753181
333,bogale,16.2833,95.4,21.36,68,78,3.79,MM,1709753181
334,palmer,42.1584,-72.3287,12.23,87,100,0.0,US,1709753182
335,sharanga,57.1775,46.5396,-3.78,97,100,2.06,RU,1709753182
336,caleta de carquin,-11.0925,-77.6267,26.24,69,100,5.22,PE,1709753182
337,west sayville,40.7279,-73.0976,9.82,96,100,2.24,US,1709753183
338,sisimiut,66.9395,-53.6735,-14.53,89,100,4.35,GL,1709753183
339,highfields,-27.4518,151.9463,16.87,94,100,1.41,AU,1709753183
340,kununurra,-15.7667,128.7333,24.99,94,100,2.06,AU,1709753184
341,cabo san lucas,22.8909,-109.9124,27.56,49,40,2.06,MX,1709753184
342,port lincoln,-34.7333,135.8667,18.18,87,100,7.8,AU,1709753184
343,tangalle,6.024,80.7911,25.42,86,100,1.75,LK,1709753185
344,es castell,39.8795,4.2854,11.38,82,20,2.57,ES,1709753185
345,vila velha,-20.3297,-40.2925,27.97,87,40,4.12,BR,1709753186
346,faxinal,-24.0003,-51.3194,26.32,69,39,1.42,BR,1709753186
347,mugia,43.1041,-9.2179,12.73,77,100,9.64,ES,1709753186
348,ninotsminda,41.2646,43.5916,-1.13,93,100,3.37,GE,1709753187
349,jiangyou,31.7667,104.7167,8.19,79,100,0.56,CN,1709753072
350,korla,41.7597,86.1469,1.52,50,6,0.78,CN,1709753187
351,piti village,13.4626,144.6933,26.03,87,0,2.06,GU,1709753188
352,santa maria,-29.6842,-53.8069,26.84,38,0,2.98,BR,1709752783
353,fernley,39.608,-119.2518,10.93,46,100,1.57,US,1709753188
354,nyurba,63.2842,118.3319,-30.82,100,100,1.35,RU,1709753189
355,jiayuguan,39.8167,98.3,-4.2,29,0,2.24,CN,1709753189
356,tortosa,40.8125,0.5216,10.69,78,15,1.11,ES,1709752967
357,atafu village,-8.5421,-172.5159,28.83,75,80,3.59,TK,1709753190
358,toliara,-23.35,43.6667,25.38,93,100,4.7,MG,1709753190
359,lorengau,-2.0226,147.2712,27.62,83,85,1.65,PG,1709753191
360,hithadhoo,-0.6,73.0833,28.1,72,100,4.81,MV,1709753191
361,altay,47.8667,88.1167,-8.51,55,3,3.69,CN,1709753191
362,weno,7.4515,151.8468,27.97,83,40,3.6,FM,1709753192
363,vadso,70.0744,29.7487,3.49,87,75,8.23,NO,1709753192
364,miyaly,48.8844,53.7836,-3.86,88,100,2.75,KZ,1709753192
365,kas,36.2018,29.6377,14.02,65,0,4.15,TR,1709753193
366,saint-philippe,-21.3585,55.7679,24.77,83,100,5.3,RE,1709752926
367,turuntayevo,52.2,107.6167,-16.95,99,87,0.37,RU,1709753193
368,singkil,-7.9855,111.4161,24.95,92,100,0.36,ID,1709753194
369,jinchang,38.4953,102.1739,-4.36,46,0,0.93,CN,1709753194
